Timestamp,MPa Pressure,mm Displacement
11586,0.5076979472140762,0.07500000000000001
11588,0.5810117302052785,0.07500000000000001
11590,0.43438416422287396,0.07500000000000001
11592,0.3427419354838711,0.07500000000000001
11594,0.3610703812316717,0.1
11596,0.2510997067448678,0.1
11598,0.2694281524926684,0.1
11600,0.2510997067448678,0.125
11602,0.562683284457478,0.125
11604,0.3977272727272728,0.125
11606,0.4160557184750734,0.15000000000000002
11608,0.2510997067448678,0.17500000000000002
11610,0.3977272727272728,0.2
11612,0.32441348973607054,0.225
11614,0.37939882697947225,0.225
11616,0.3977272727272728,0.25
11618,0.28775659824046895,0.25
11620,0.32441348973607054,0.25
11622,0.4710410557184751,0.25
11624,0.4160557184750734,0.25
11626,0.3977272727272728,0.25
11628,0.32441348973607054,0.275
11630,0.3427419354838711,0.275
11632,0.3060850439882695,0.275
11634,0.37939882697947225,0.30000000000000004
11636,0.3060850439882695,0.30000000000000004
11638,0.37939882697947225,0.30000000000000004
11640,0.37939882697947225,0.325
11642,0.48936950146627567,0.325
11644,0.43438416422287396,0.325
11646,0.28775659824046895,0.325
11648,0.3060850439882695,0.35000000000000003
11650,0.28775659824046895,0.35000000000000003
11652,0.3060850439882695,0.35000000000000003
11654,0.3610703812316717,0.35000000000000003
11656,0.3427419354838711,0.35000000000000003
11658,0.45271260997067453,0.35000000000000003
11660,0.48936950146627567,0.375
11662,0.3060850439882695,0.375
11664,0.32441348973607054,0.375
11666,0.3610703812316717,0.4
11668,0.3427419354838711,0.4
11670,0.4160557184750734,0.4
11672,0.4160557184750734,0.42500000000000004
11674,0.48936950146627567,0.42500000000000004
11676,0.3060850439882695,0.42500000000000004
11678,0.2694281524926684,0.42500000000000004
11680,0.32441348973607054,0.45
11682,0.23277126099706724,0.45
11684,0.2694281524926684,0.45
11686,0.4160557184750734,0.45
11688,0.48936950146627567,0.47500000000000003
11691,0.3977272727272728,0.5
11692,0.3977272727272728,0.5
11694,0.17778592375366553,0.5
11696,0.3427419354838711,0.5
11698,0.32441348973607054,0.525
11700,0.4710410557184751,0.525
11702,0.3427419354838711,0.525
11704,0.3610703812316717,0.525
11706,0.3977272727272728,0.55
11708,0.2510997067448678,0.55
