Timestamp,MPa Pressure,mm Displacement
2,4.594941348973608,0.0
4,4.246700879765395,0.0
6,3.8984604105571847,0.0
8,3.586876832844575,0.0
10,3.3119501466275656,0.0
12,3.037023460410557,0.0
14,2.780425219941349,0.0
16,2.487170087976539,0.0
18,2.1939149560117297,0.0
20,1.9189882697947214,0.0
22,1.6440615835777128,0.0
24,1.3691348973607043,0.0
26,1.3141495601173017,0.0
28,1.3141495601173017,0.0
30,1.2041788856304982,0.0
32,1.0575513196480937,0.0
34,0.874266862170088,0.0
36,0.6909824046920819,0.0
38,0.4710410557184751,0.0
40,0.21444281524926667,0.0
43,-0.02382697947214074,0.0
44,-0.15212609970674473,0.0
46,-0.3903958944281526,0.0
48,-0.5920087976539591,0.0
50,-0.7569648093841642,0.0
52,-0.8852639296187683,0.0
54,-1.0318914956011729,0.0
56,-1.160190615835777,0.0
58,-1.2884897360703813,0.0
60,-1.4167888563049853,0.0
62,-1.5450879765395893,0.0
64,-1.6184017595307918,0.0
66,-1.6733870967741935,0.0
68,-1.7100439882697946,0.0
70,-1.7283724340175952,0.0
72,-1.7650293255131966,0.0
74,-1.7833577712609971,0.0
76,-1.8016862170087977,0.0
78,-1.8200146627565983,0.0
80,-1.8566715542521994,0.0
82,-1.875,0.0
84,-1.875,0.0
86,-1.875,0.0
88,-1.875,0.0
90,-1.875,0.0
92,-1.875,0.0
94,-1.875,0.0
96,-1.875,0.0
98,-1.875,0.0
100,-1.875,0.0
102,-1.875,0.0
104,-1.875,0.0
106,-1.875,0.0
108,-1.875,0.0
110,-1.875,0.0
112,-1.875,0.0
114,-1.875,0.0
116,-1.875,0.0
118,-1.875,0.0
120,-1.875,0.0
122,-1.875,0.0
124,-1.875,0.0
126,-1.875,0.0
128,-1.875,0.0
130,-1.875,0.0
132,-1.875,0.0
134,-1.875,0.0
136,-1.875,0.0
138,-1.875,0.0
140,-1.875,0.0
142,-1.875,0.0
144,-1.875,0.0
146,-1.875,0.0
148,-1.875,0.0
150,-1.875,0.0
152,-1.875,0.0
154,-1.875,0.0
156,-1.875,0.0
158,-1.875,0.0
160,-1.875,0.0
162,-1.875,0.0
164,-1.875,0.0
166,-1.875,0.0
168,-1.875,0.0
171,-1.875,0.0
172,-1.875,0.0
174,-1.875,0.0
176,-1.875,0.0
178,-1.875,0.0
180,-1.875,0.0
182,-1.875,0.0
184,-1.875,0.0
186,-1.875,0.0
188,-1.875,0.0
190,-1.875,0.0
192,-1.875,0.0
194,-1.875,0.0
196,-1.875,0.0
198,-1.875,0.0
200,-1.875,0.0
202,-1.875,0.0
204,-1.875,0.0
206,-1.875,0.0
208,-1.875,0.0
210,-1.875,0.0
212,-1.875,0.0
214,-1.875,0.0
216,-1.875,0.0
218,-1.875,0.0
220,-1.875,0.0
222,-1.875,0.0
224,-1.875,0.0
226,-1.875,0.0
228,-1.875,0.0
230,-1.875,0.0
232,-1.875,0.0
234,-1.875,0.0
236,-1.875,0.0
238,-1.875,0.0
240,-1.875,0.0
242,-1.875,0.0
244,-1.875,0.0
246,-1.875,0.0
248,-1.875,0.0
250,-1.875,0.0
252,-1.875,0.0
254,-1.875,0.0
256,-1.875,0.0
258,-1.875,0.0
260,-1.875,0.0
262,-1.875,0.0
264,-1.875,0.0
266,-1.875,0.0
268,-1.875,0.0
270,-1.875,0.0
272,-1.875,0.0
274,-1.875,0.0
276,-1.875,0.0
278,-1.875,0.0
280,-1.8200146627565983,0.0
282,-1.691715542521994,0.0
284,-1.5817448680351907,0.0
286,-1.5084310850439882,0.0
288,-1.4534457478005864,0.0
290,-1.4167888563049853,0.0
292,-1.3801319648093842,0.0
294,-1.3251466275659824,0.0
296,-1.2884897360703813,0.0
299,-1.2518328445747802,0.0
300,-1.2335043988269796,0.0
302,-1.1785190615835777,0.0
304,-1.123533724340176,0.0
306,-1.0868768328445748,0.0
308,-1.0502199413489735,0.0
310,-0.9769061583577712,0.0
312,-0.9219208211143695,0.0
314,-0.9035923753665689,0.0
316,-0.8852639296187683,0.0
318,-0.8669354838709677,0.0
320,-0.8669354838709677,0.0
322,-0.8669354838709677,0.0
324,-0.8852639296187683,0.0
326,-0.9219208211143695,0.0
328,-0.94024926686217,0.0
330,-0.9769061583577712,0.0
332,-0.9952346041055717,0.0
334,-1.0318914956011729,0.0
336,-1.0868768328445748,0.0
338,-1.1418621700879765,0.0
340,-1.1785190615835777,0.0
342,-1.1968475073313782,0.0
344,-1.2701612903225807,0.0
346,-1.3251466275659824,0.0
348,-1.3801319648093842,0.0
350,-1.4534457478005864,0.0
352,-1.5084310850439882,0.0
354,-1.5817448680351907,0.0
356,-1.6367302052785924,0.0
358,-1.655058651026393,0.0
360,-1.691715542521994,0.0
362,-1.7283724340175952,0.0
364,-1.8016862170087977,0.0
366,-1.875,0.0
368,-1.875,0.0
370,-1.875,0.0
372,-1.875,0.0
374,-1.875,0.0
376,-1.875,0.0
378,-1.875,0.0
380,-1.875,0.0
382,-1.875,0.0
384,-1.875,0.0
386,-1.875,0.0
388,-1.875,0.0
390,-1.875,0.0
392,-1.875,0.0
394,-1.875,0.0
396,-1.875,0.0
398,-1.875,0.0
400,-1.875,0.0
402,-1.875,0.0
404,-1.875,0.0
406,-1.875,0.0
408,-1.875,0.0
410,-1.875,0.0
412,-1.875,0.0
414,-1.875,0.0
416,-1.875,0.0
418,-1.875,0.0
420,-1.875,0.0
