Timestamp,,MPa Pressure,,,,mm Displacement
38426.00,0.16,0.067815249,0.412390029,0.788123167,1.557917889,0
38428.00,0.16,0.086143695,0.430718475,0.788123167,1.576246334,0
38430.00,0.16,0.086143695,0.412390029,0.788123167,1.576246334,0
38432.00,0.16,0.086143695,0.394061584,0.788123167,1.576246334,0
38434.00,0.17,0.086143695,0.394061584,0.788123167,1.576246334,0
38436.00,0.17,0.086143695,0.375733138,0.769794721,1.557917889,0
38438.00,0.17,0.067815249,0.357404692,0.769794721,1.557917889,0
38440.00,0.17,0.067815249,0.375733138,0.788123167,1.576246334,0
38443.00,0.18,0.086143695,0.394061584,0.788123167,1.59457478,0
38444.00,0.18,0.067815249,0.394061584,0.769794721,1.59457478,0
38446.00,0.18,0.067815249,0.394061584,0.769794721,1.612903226,0
38448.00,0.18,0.086143695,0.412390029,0.788123167,1.631231672,0
38450.00,0.18,0.086143695,0.412390029,0.788123167,1.612903226,0
38452.00,0.18,0.086143695,0.394061584,0.788123167,1.612903226,0
38454.00,0.19,0.067815249,0.375733138,0.788123167,1.612903226,0
38456.00,0.19,0.086143695,0.375733138,0.788123167,1.631231672,0
38458.00,0.19,0.086143695,0.375733138,0.788123167,1.631231672,0
38460.00,0.19,0.067815249,0.375733138,0.788123167,1.631231672,0
38462.00,0.19,0.067815249,0.394061584,0.806451613,1.649560117,0
38464.00,0.20,0.067815249,0.412390029,0.824780059,1.667888563,0
38466.00,0.20,0.086143695,0.412390029,0.843108504,1.686217009,0
38468.00,0.20,0.086143695,0.412390029,0.843108504,1.686217009,0
38470.00,0.20,0.086143695,0.412390029,0.824780059,1.704545455,0
38472.00,0.20,0.086143695,0.412390029,0.824780059,1.704545455,0
38474.00,0.21,0.067815249,0.412390029,0.824780059,1.704545455,0
38476.00,0.21,0.086143695,0.430718475,0.843108504,1.7228739,0
38478.00,0.21,0.086143695,0.430718475,0.843108504,1.7228739,0
38480.00,0.21,0.086143695,0.412390029,0.843108504,1.7228739,0
38482.00,0.21,0.086143695,0.412390029,0.843108504,1.7228739,0
38484.00,0.22,0.086143695,0.412390029,0.843108504,1.7228739,0
38486.00,0.22,0.086143695,0.412390029,0.843108504,1.7228739,0
38488.00,0.22,0.067815249,0.412390029,0.843108504,1.7228739,0
38490.00,0.22,0.086143695,0.430718475,0.879765396,1.741202346,0
38492.00,0.22,0.086143695,0.430718475,0.879765396,1.741202346,0
38494.00,0.23,0.086143695,0.430718475,0.879765396,1.741202346,0
38496.00,0.23,0.086143695,0.430718475,0.879765396,1.759530792,0
38498.00,0.23,0.086143695,0.430718475,0.879765396,1.759530792,0
38500.00,0.23,0.086143695,0.449046921,0.879765396,1.759530792,0
38502.00,0.23,0.086143695,0.449046921,0.879765396,1.759530792,0
38504.00,0.24,0.086143695,0.449046921,0.879765396,1.759530792,0
38506.00,0.24,0.086143695,0.449046921,0.879765396,1.759530792,0
38508.00,0.24,0.104472141,0.449046921,0.879765396,1.759530792,0
38510.00,0.24,0.086143695,0.430718475,0.86143695,1.759530792,0
38512.00,0.24,0.086143695,0.430718475,0.86143695,1.759530792,0
38514.00,0.25,0.086143695,0.430718475,0.86143695,1.777859238,0
38516.00,0.25,0.086143695,0.430718475,0.879765396,1.777859238,0
38518.00,0.25,0.086143695,0.430718475,0.879765396,1.796187683,0
38520.00,0.25,0.086143695,0.430718475,0.879765396,1.814516129,0
38522.00,0.25,0.086143695,0.430718475,0.879765396,1.814516129,0
38524.00,0.26,0.086143695,0.430718475,0.879765396,1.814516129,0
38526.00,0.26,0.086143695,0.449046921,0.879765396,1.814516129,0
38528.00,0.26,0.086143695,0.449046921,0.879765396,1.814516129,0
38530.00,0.26,0.086143695,0.449046921,0.898093842,1.814516129,0
38532.00,0.26,0.086143695,0.449046921,0.898093842,1.814516129,0
38534.00,0.27,0.104472141,0.449046921,0.916422287,1.832844575,0
38536.00,0.27,0.086143695,0.430718475,0.898093842,1.832844575,0
38538.00,0.27,0.086143695,0.430718475,0.916422287,1.832844575,0
38540.00,0.27,0.086143695,0.449046921,0.934750733,1.832844575,0
38542.00,0.27,0.086143695,0.449046921,0.934750733,1.832844575,0
38544.00,0.28,0.086143695,0.467375367,0.934750733,1.832844575,0
38546.00,0.28,0.086143695,0.467375367,0.934750733,1.832844575,0
38548.00,0.28,0.104472141,0.485703812,0.934750733,1.832844575,0
38550.00,0.28,0.086143695,0.485703812,0.916422287,1.814516129,0
38552.00,0.28,0.104472141,0.485703812,0.916422287,1.814516129,0
38554.00,0.29,0.086143695,0.467375367,0.916422287,1.814516129,0
38556.00,0.29,0.104472141,0.467375367,0.934750733,1.832844575,0
38558.00,0.29,0.104472141,0.449046921,0.916422287,1.832844575,0
38560.00,0.29,0.086143695,0.430718475,0.898093842,1.814516129,0
38562.00,0.29,0.086143695,0.430718475,0.898093842,1.832844575,0
38564.00,0.30,0.086143695,0.449046921,0.898093842,1.832844575,0
38566.00,0.30,0.086143695,0.467375367,0.898093842,1.851173021,0
38568.00,0.30,0.086143695,0.467375367,0.898093842,1.851173021,0
38571.00,0.30,0.086143695,0.467375367,0.898093842,1.869501466,0
38572.00,0.30,0.104472141,0.467375367,0.898093842,1.887829912,0
38574.00,0.31,0.104472141,0.449046921,0.898093842,1.887829912,0
38576.00,0.31,0.086143695,0.430718475,0.898093842,1.869501466,0
38578.00,0.31,0.086143695,0.430718475,0.916422287,1.869501466,0
38580.00,0.31,0.086143695,0.430718475,0.916422287,1.869501466,0
38582.00,0.31,0.086143695,0.430718475,0.934750733,1.887829912,0
38584.00,0.32,0.086143695,0.449046921,0.934750733,1.906158358,0
38586.00,0.32,0.086143695,0.467375367,0.953079179,1.924486804,0
38588.00,0.32,0.086143695,0.485703812,0.953079179,1.924486804,0
38590.00,0.32,0.086143695,0.485703812,0.971407625,1.851173021,0
38592.00,0.32,0.104472141,0.504032258,0.98973607,1.814516129,0
38594.00,0.33,0.104472141,0.485703812,0.98973607,1.759530792,0
38596.00,0.33,0.104472141,0.485703812,0.971407625,1.7228739,0
38598.00,0.33,0.086143695,0.467375367,0.953079179,1.704545455,0
38600.00,0.33,0.104472141,0.485703812,0.953079179,1.686217009,0
38602.00,0.33,0.086143695,0.485703812,0.953079179,1.667888563,0
38604.00,0.34,0.104472141,0.504032258,0.971407625,1.686217009,0
38606.00,0.34,0.086143695,0.485703812,0.971407625,1.686217009,0
38608.00,0.34,0.104472141,0.485703812,0.971407625,1.704545455,0
38610.00,0.34,0.104472141,0.467375367,0.879765396,1.704545455,0
38612.00,0.34,0.104472141,0.467375367,0.824780059,1.704545455,0
38614.00,0.35,0.086143695,0.467375367,0.769794721,1.686217009,0
38616.00,0.35,0.086143695,0.485703812,0.751466276,1.704545455,0
38618.00,0.35,0.086143695,0.485703812,0.751466276,1.704545455,0
38620.00,0.35,0.104472141,0.412390029,0.73313783,1.7228739,0
38622.00,0.35,0.104472141,0.357404692,0.714809384,1.7228739,0
38624.00,0.36,0.104472141,0.302419355,0.714809384,1.7228739,0
38626.00,0.36,0.086143695,0.265762463,0.714809384,1.704545455,0
38628.00,0.36,0.012829912,0.265762463,0.73313783,1.704545455,0
38630.00,0.36,0.049486804,0.320747801,0.824780059,1.777859238,0
38632.00,0.36,0.049486804,0.357404692,0.879765396,1.759530792,0
38634.00,0.37,0.067815249,0.412390029,0.916422287,1.777859238,0
38636.00,0.37,0.086143695,0.449046921,0.953079179,1.777859238,0
38638.00,0.37,0.067815249,0.467375367,0.953079179,1.759530792,0
