Timestamp,MPa Pressure,mm Displacement
7332,0.06781524926686211,0.0
7334,0.03115835777126097,0.0
7336,0.03115835777126097,0.0
7339,0.03115835777126097,0.0
7340,0.03115835777126097,0.0
7342,0.03115835777126097,0.0
7344,0.04948680351906154,0.0
7346,0.04948680351906154,0.0
7348,0.04948680351906154,0.0
7350,0.04948680351906154,0.0
7352,0.03115835777126097,0.0
7354,0.03115835777126097,0.0
7356,0.03115835777126097,0.0
7358,0.04948680351906154,0.0
7360,0.03115835777126097,0.0
7362,0.03115835777126097,0.0
7364,0.03115835777126097,0.0
7366,0.03115835777126097,0.0
7368,0.04948680351906154,0.0
7370,0.04948680351906154,0.0
7372,0.03115835777126097,0.0
7374,0.03115835777126097,0.0
7376,0.04948680351906154,0.0
7378,0.04948680351906154,0.0
7380,0.04948680351906154,0.0
7382,0.04948680351906154,0.0
7384,0.03115835777126097,0.0
7386,0.06781524926686211,0.0
7388,0.04948680351906154,0.0
7390,0.04948680351906154,0.0
7392,0.04948680351906154,0.0
7394,0.04948680351906154,0.0
7396,0.04948680351906154,0.0
7398,0.06781524926686211,0.0
7400,0.03115835777126097,0.0
7402,0.03115835777126097,0.0
7404,0.03115835777126097,0.0
7406,0.03115835777126097,0.0
7408,0.03115835777126097,0.0
7410,0.03115835777126097,0.0
7412,0.06781524926686211,0.0
7414,0.03115835777126097,0.0
7416,0.04948680351906154,0.0
7418,0.03115835777126097,0.0
7420,0.03115835777126097,0.0
7422,0.03115835777126097,0.0
7424,0.06781524926686211,0.0
7426,0.04948680351906154,0.0
7428,0.06781524926686211,0.0
7430,0.06781524926686211,0.0
7432,0.06781524926686211,0.0
7434,0.06781524926686211,0.0
7436,0.04948680351906154,0.0
7438,0.04948680351906154,0.0
7440,0.04948680351906154,0.0
7442,0.04948680351906154,0.0
7444,0.04948680351906154,0.0
7446,0.06781524926686211,0.0
7448,0.06781524926686211,0.0
7450,0.04948680351906154,0.0
7452,0.06781524926686211,0.0
7454,0.04948680351906154,0.0
7456,0.04948680351906154,0.0
7458,0.03115835777126097,0.0
7460,0.04948680351906154,0.0
7462,0.03115835777126097,0.0
7464,0.03115835777126097,0.0
7467,0.03115835777126097,0.0
7468,0.04948680351906154,0.0
7470,0.04948680351906154,0.0
7472,0.04948680351906154,0.0
7474,0.04948680351906154,0.0
7476,0.06781524926686211,0.0
7478,0.06781524926686211,0.0
7480,0.06781524926686211,0.0
7482,0.06781524926686211,0.0
7484,0.06781524926686211,0.0
7486,0.03115835777126097,0.0
7488,0.03115835777126097,0.0
7490,0.04948680351906154,0.0
7492,0.03115835777126097,0.0
7494,0.04948680351906154,0.0
7496,0.04948680351906154,0.0
7498,0.04948680351906154,0.0
7500,0.03115835777126097,0.0
7502,0.03115835777126097,0.0
7504,0.04948680351906154,0.0
7506,0.04948680351906154,0.0
7508,0.04948680351906154,0.0
7510,0.04948680351906154,0.0
7512,0.06781524926686211,0.0
